trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9960079893439915}",30,0,-119.12453835676664,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.7, 'e': 0.9940179640539353}",20,0,-36.73942492127916,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.7, 'e': 0.9920319148370607}",25,0,-101.26638707878244,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0.9900498337491681}",30,0,-82.94968176601834,"{0: 17, 1: 8, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.7, 'e': 0.9880717128619305}",30,0,-206.51191937129167,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
6,False,"{'a': 0.7, 'e': 0.9860975442628619}",20,0,-92.06651931202205,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.7, 'e': 0.9841273200552851}",20,0,-92.17028895458502,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.7, 'e': 0.9821610323583008}",20,0,-203.77173374672697,"{0: 8, 1: 3, 2: 4, 3: 2, 4: 3}",0
9,False,"{'a': 0.7, 'e': 0.9801986733067553}",30,11,-31.863628585176578,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 0}",1
10,False,"{'a': 0.7, 'e': 0.97824023505121}",20,0,-142.97068608298287,"{0: 11, 1: 5, 2: 1, 3: 0, 4: 3}",0
11,False,"{'a': 0.7, 'e': 0.9762857097579093}",25,0,-251.16338480647516,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 5}",0
12,False,"{'a': 0.7, 'e': 0.9743350896087494}",25,0,-69.65584241150107,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.9723883668012469}",25,0,-143.08550012461185,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.7, 'e': 0.9704455335485082}",20,0,-149.6554881591568,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
15,False,"{'a': 0.7, 'e': 0.9685065820791976}",25,0,-170.71072562700402,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
16,False,"{'a': 0.7, 'e': 0.9665715046375066}",25,15,-50.74137888584227,"{0: 6, 1: 0, 2: 2, 3: 2, 4: 0}",1
17,False,"{'a': 0.7, 'e': 0.9646402934831231}",30,0,-126.8260547767919,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 1}",0
18,False,"{'a': 0.7, 'e': 0.9627129408911995}",20,0,-35.72093598625639,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.7, 'e': 0.9607894391523232}",20,0,-106.50490029089764,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.7, 'e': 0.9588697805724845}",25,0,-86.35999255855123,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.7, 'e': 0.9569539574730467}",20,0,-186.55567816731153,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
22,False,"{'a': 0.7, 'e': 0.9550419621907147}",25,0,-105.82447703188663,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
23,False,"{'a': 0.7, 'e': 0.9531337870775047}",20,0,-71.89974334263587,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
