trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-20.832245996578823,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-144.30811413438792,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-59.321018088122344,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-129.1958264779886,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,10,-117.46086953641546,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,1.311033469400822,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-128.56563929345052,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-75.6412491419972,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-64.17897406031756,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-84.07268663025376,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-108.02207453623035,"{0: 10, 1: 0, 2: 8, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-73.77083597620543,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,12,-29.50817523805774,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-163.00192764426538,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,4,-87.77598105260836,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-229.25713057154428,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-81.68563732469427,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-126.33392025636195,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-114.74945215459336,"{0: 16, 1: 5, 2: 1, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-159.16007830179404,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",30,15,-74.36832105815074,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,8,-74.56742147797263,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,1,-87.79725734029952,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",30,0,-107.3775062566615,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-189.5652835642684,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,0,-105.62589418573968,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,0,-209.68630640430553,"{0: 13, 1: 7, 2: 5, 3: 3, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-113.44725202716451,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-172.86615489783046,"{0: 7, 1: 4, 2: 6, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",30,0,-195.88652822812006,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
