trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.9960079893439915}",20,0,-41.49450926335302,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.9, 'e': 0.9940179640539353}",20,0,-86.69964410059316,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.9, 'e': 0.9920319148370607}",30,0,-93.99770080778444,"{0: 20, 1: 0, 2: 8, 3: 2, 4: 0}",0
4,False,"{'a': 0.9, 'e': 0.9900498337491681}",20,0,-196.7484291710486,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 4}",0
5,False,"{'a': 0.9, 'e': 0.9880717128619305}",20,0,-145.7420790004552,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.9, 'e': 0.9860975442628619}",25,0,-169.2635251955506,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
7,False,"{'a': 0.9, 'e': 0.9841273200552851}",20,0,-216.5026828208676,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
8,False,"{'a': 0.9, 'e': 0.9821610323583008}",25,0,-48.74230635582768,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.9, 'e': 0.9801986733067553}",25,0,-52.866740549797335,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.9, 'e': 0.97824023505121}",25,0,-143.80120185760208,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
11,False,"{'a': 0.9, 'e': 0.9762857097579093}",25,0,-165.0345085513033,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.9, 'e': 0.9743350896087494}",20,0,-13.151030441254912,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.9, 'e': 0.9723883668012469}",20,0,-137.9763993637817,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.9, 'e': 0.9704455335485082}",20,0,-141.81512481921706,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.9, 'e': 0.9685065820791976}",30,0,-79.11542345824992,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.9, 'e': 0.9665715046375066}",25,10,-161.23919985210935,"{0: 6, 1: 1, 2: 4, 3: 2, 4: 2}",1
17,False,"{'a': 0.9, 'e': 0.9646402934831231}",20,0,-144.6890112967133,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
18,False,"{'a': 0.9, 'e': 0.9627129408911995}",30,0,-222.16372088892456,"{0: 14, 1: 5, 2: 6, 3: 2, 4: 3}",0
19,False,"{'a': 0.9, 'e': 0.9607894391523232}",30,0,-167.93564611990706,"{0: 21, 1: 3, 2: 1, 3: 2, 4: 3}",0
